rrs_library_id	sample_id	filename_r1	filename_r2	rrs_library_notes	sra_accession
DFS.041.Post.1	SS01120	DFS.041.Post.1_R1.fastq	DFS.041.Post.1_R2.fastq		SRR15102503
DFS.041.Post.2	SS01123	DFS.041.Post.2_R1.fastq	DFS.041.Post.2_R2.fastq		SRR15102502
DFS.041.Post.3	SS01126	DFS.041.Post.3_R1.fastq	DFS.041.Post.3_R2.fastq		SRR15102501
DFS.041.Post.4	SS01127	DFS.041.Post.4_R1.fastq	DFS.041.Post.4_R2.fastq		SRR15102500
DFS.041.Post.5	SS01128	DFS.041.Post.5_R1.fastq	DFS.041.Post.5_R2.fastq		SRR15102499
DFS.041.Post.6	SS01130	DFS.041.Post.6_R1.fastq	DFS.041.Post.6_R2.fastq		SRR15102498
DFS.041.Post.7	SS01131	DFS.041.Post.7_R1.fastq	DFS.041.Post.7_R2.fastq		SRR15102497
DFS.041.Post.8	SS01133	DFS.041.Post.8_R1.fastq	DFS.041.Post.8_R2.fastq		SRR15102496
DFS.043.Baseline	SS01099	DFS.043.Baseline_R1.fastq	DFS.043.Baseline_R2.fastq		SRR15102495
DFS.043.E1	DS0097_044	DFS.043.E1_R1.fastq	DFS.043.E1_R2.fastq		SRR15102494
DFS.043.E2	DS0044_001	DFS.043.E2_R1.fastq	DFS.043.E2_R2.fastq	analysis based on BC dissimilarity confirms library more similar to other D0044 libraries rather than D0097 libraries, consistent with visit notes;	SRR15102492
DFS.043.E3	DS0097_046	DFS.043.E3_R1.fastq	DFS.043.E3_R2.fastq		SRR15102491
DFS.043.E4	DS0097_047	DFS.043.E4_R1.fastq	DFS.043.E4_R2.fastq		SRR15102490
DFS.043.E5	DS0097_048	DFS.043.E5_R1.fastq	DFS.043.E5_R2.fastq		SRR15102489
DFS.043.FMTi	DS0097_043	DFS.043.FMTi_R1.fastq	DFS.043.FMTi_R2.fastq		SRR15102488
DFS.043.Post.1	SS01107	DFS.043.Post.1_R1.fastq	DFS.043.Post.1_R2.fastq		SRR15102487
DFS.043.Post.2	SS01109	DFS.043.Post.2_R1.fastq	DFS.043.Post.2_R2.fastq	BJS assuming same sample as DFS.043.Post.2.1st;	SRR15102486
